0,01559999999,0,01552222222,10/02/2014,10/02/2014,18:45:00,19:12:00,Local,27.0
1,01559999999,1,08700322222,10/01/2014,10/01/2014,19:15:00,19:17:00,National,16.0
2,01559999999,0,01552222222,04/01/2014,04/01/2014,04:45:00,04:52:00,Local,28.0
3,01559999999,1,07744922222,26/01/2014,26/01/2014,17:25:00,17:36:00,Mobile,165.0
4,01559999999,0,01552222222,28/01/2014,28/01/2014,20:55:00,21:06:00,Local,44.0
5,01559999999,0,35022222222,12/02/2014,12/02/2014,14:25:00,14:34:00,Intl,270.0
6,01559999999,0,01552222222,10/02/2014,10/02/2014,17:25:00,17:48:00,Local,23.0
7,01559999999,0,07744922222,30/01/2014,30/01/2014,17:40:00,17:49:00,Mobile,225.0
8,01559999999,1,07744922222,24/01/2014,24/01/2014,15:10:00,15:19:00,Mobile,225.0
9,01559999999,1,01552222222,13/01/2014,13/01/2014,16:45:00,17:08:00,Local,23.0
10,01559999999,0,08700322222,12/01/2014,12/01/2014,23:35:00,23:44:00,National,36.0
11,01559999999,0,01552222222,11/01/2014,11/01/2014,11:35:00,11:46:00,Local,44.0
12,01559999999,0,01552222222,01/02/2014,01/02/2014,21:20:00,21:31:00,Local,44.0
13,01559999999,1,01552222222,30/12/2013,30/12/2013,13:15:00,13:38:00,Local,23.0
14,01559999999,1,01552222222,10/02/2014,10/02/2014,11:35:00,12:05:00,Local,30.0
15,01559999999,0,01552222222,26/01/2014,26/01/2014,19:35:00,20:05:00,Local,30.0
16,01559999999,0,07744922222,05/02/2014,05/02/2014,18:15:00,18:28:00,Mobile,325.0
17,01559999999,1,07744922222,21/02/2014,21/02/2014,18:50:00,19:03:00,Mobile,325.0
18,01559999999,1,01552222222,06/02/2014,06/02/2014,18:55:00,19:10:00,Local,60.0
19,01559999999,0,07744922222,13/01/2014,13/01/2014,18:00:00,18:24:00,Mobile,360.0
20,01559999999,1,01552222222,10/02/2014,10/02/2014,13:25:00,13:55:00,Local,30.0
21,01559999999,0,01552222222,17/02/2014,17/02/2014,17:40:00,18:10:00,Local,30.0
22,01559999999,1,08700322222,15/01/2014,15/01/2014,21:00:00,21:10:00,National,80.0
23,01559999999,1,01552222222,18/02/2014,18/02/2014,17:50:00,18:05:00,Local,60.0
24,01559999999,0,01552222222,15/02/2014,15/02/2014,19:20:00,19:35:00,Local,60.0
25,01559999999,0,01552222222,21/01/2014,21/01/2014,18:50:00,18:50:00,Local,0.0
26,01559999999,1,35022222222,30/12/2013,30/12/2013,13:05:00,13:07:00,Intl,50.0
27,01559999999,1,01552222222,05/01/2014,05/01/2014,16:45:00,16:45:00,Local,0.0
28,01559999999,1,07744922222,02/02/2014,02/02/2014,21:45:00,21:45:00,Mobile,0.0
29,01559999999,0,35022222222,22/02/2014,22/02/2014,22:15:00,22:17:00,Intl,60.0
